R-code URL,Information URL,Quick info
"http://www.itl.nist.gov/div898/handbook/eda/section3/eda35e.r","http://www.itl.nist.gov/div898/handbook/eda/section3/eda35e.htm",""
"http://www.itl.nist.gov/div898/handbook/eda/section3/eda35f.r","http://www.itl.nist.gov/div898/handbook/eda/section3/eda35f.htm",""
"http://www.itl.nist.gov/div898/handbook/pmd/section6/pmd611.r","http://www.itl.nist.gov/div898/handbook/pmd/section6/pmd611.htm",""
"http://www.itl.nist.gov/div898/handbook/apr/section4/apr452.r","http://www.itl.nist.gov/div898/handbook/apr/section4/apr452.htm",""
"http://www.itl.nist.gov/div898/handbook/apr/section4/apr423.r","http://www.itl.nist.gov/div898/handbook/apr/section4/apr423.htm",""
"http://www.itl.nist.gov/div898/handbook/pri/section4/pri471.r","http://www.itl.nist.gov/div898/handbook/pri/section4/pri471.htm",""
"http://www.itl.nist.gov/div898/handbook/pri/section5/pri542.r","http://www.itl.nist.gov/div898/handbook/pri/section5/pri542.htm",""
"http://www.itl.nist.gov/div898/handbook/prc/section2/prc232.r","http://www.itl.nist.gov/div898/handbook/prc/section2/prc232.htm",""
"http://www.itl.nist.gov/div898/handbook/prc/section4/prc474.r","http://www.itl.nist.gov/div898/handbook/prc/section4/prc474.htm",""
"http://www.itl.nist.gov/div898/handbook/mpc/section6/mpc611.r","http://www.itl.nist.gov/div898/handbook/mpc/section6/mpc611.htm",""
"http://www.itl.nist.gov/div898/handbook/eda/section3/eda35f.r","http://www.itl.nist.gov/div898/handbook/eda/section3/eda35f.htm",""
"http://www.itl.nist.gov/div898/handbook/pmd/section6/pmd611.r","http://www.itl.nist.gov/div898/handbook/pmd/section6/pmd611.htm",""
"http://www.itl.nist.gov/div898/handbook/apr/section4/apr452.r","http://www.itl.nist.gov/div898/handbook/apr/section4/apr452.htm",""
"http://www.itl.nist.gov/div898/handbook/apr/section4/apr423.r","http://www.itl.nist.gov/div898/handbook/apr/section4/apr423.htm",""
"http://www.itl.nist.gov/div898/handbook/pri/section4/pri471.r","http://www.itl.nist.gov/div898/handbook/pri/section4/pri471.htm",""
"http://www.itl.nist.gov/div898/handbook/pri/section5/pri542.r","http://www.itl.nist.gov/div898/handbook/pri/section5/pri542.htm","Triangular plot"
"http://www.itl.nist.gov/div898/handbook/prc/section2/prc232.r","http://www.itl.nist.gov/div898/handbook/prc/section2/prc232.htm",""
"http://www.itl.nist.gov/div898/handbook/prc/section4/prc474.r","http://www.itl.nist.gov/div898/handbook/prc/section4/prc474.htm",""
"http://www.itl.nist.gov/div898/handbook/mpc/section6/mpc611.r","http://www.itl.nist.gov/div898/handbook/mpc/section6/mpc611.htm",""
"http://www.itl.nist.gov/div898/handbook/mpc/section3/mpc3671.r","http://www.itl.nist.gov/div898/handbook/mpc/section3/mpc3671.htm",""
"http://www.itl.nist.gov/div898/handbook/pmd/section6/pmd611.r","http://www.itl.nist.gov/div898/handbook/pmd/section6/pmd611.htm",""
"http://www.itl.nist.gov/div898/handbook/apr/section4/apr452.r","http://www.itl.nist.gov/div898/handbook/apr/section4/apr452.htm",""
"http://www.itl.nist.gov/div898/handbook/apr/section4/apr423.r","http://www.itl.nist.gov/div898/handbook/apr/section4/apr423.htm",""
"http://www.itl.nist.gov/div898/handbook/pri/section4/pri471.r","http://www.itl.nist.gov/div898/handbook/pri/section4/pri471.htm",""
"http://www.itl.nist.gov/div898/handbook/pri/section5/pri542.r","http://www.itl.nist.gov/div898/handbook/pri/section5/pri542.htm",""
"http://www.itl.nist.gov/div898/handbook/prc/section2/prc232.r","http://www.itl.nist.gov/div898/handbook/prc/section2/prc232.htm",""
"http://www.itl.nist.gov/div898/handbook/prc/section4/prc474.r","http://www.itl.nist.gov/div898/handbook/prc/section4/prc474.htm",""
"http://www.itl.nist.gov/div898/handbook/mpc/section6/mpc611.r","http://www.itl.nist.gov/div898/handbook/mpc/section6/mpc611.htm",""
"http://www.itl.nist.gov/div898/handbook/mpc/section3/mpc3671.r","http://www.itl.nist.gov/div898/handbook/mpc/section3/mpc3671.htm",""
"http://www.itl.nist.gov/div898/handbook/ppc/section5/ppc521.r","http://www.itl.nist.gov/div898/handbook/ppc/section5/ppc521.htm",""
"http://www.itl.nist.gov/div898/handbook/apr/section4/apr452.r","http://www.itl.nist.gov/div898/handbook/apr/section4/apr452.htm",""
"http://www.itl.nist.gov/div898/handbook/apr/section4/apr423.r","http://www.itl.nist.gov/div898/handbook/apr/section4/apr423.htm",""
"http://www.itl.nist.gov/div898/handbook/pri/section4/pri471.r","http://www.itl.nist.gov/div898/handbook/pri/section4/pri471.htm",""
"http://www.itl.nist.gov/div898/handbook/pri/section5/pri542.r","http://www.itl.nist.gov/div898/handbook/pri/section5/pri542.htm",""
"http://www.itl.nist.gov/div898/handbook/prc/section2/prc232.r","http://www.itl.nist.gov/div898/handbook/prc/section2/prc232.htm",""
"http://www.itl.nist.gov/div898/handbook/prc/section4/prc474.r","http://www.itl.nist.gov/div898/handbook/prc/section4/prc474.htm",""
"http://www.itl.nist.gov/div898/handbook/mpc/section6/mpc611.r","http://www.itl.nist.gov/div898/handbook/mpc/section6/mpc611.htm",""
"http://www.itl.nist.gov/div898/handbook/mpc/section3/mpc3671.r","http://www.itl.nist.gov/div898/handbook/mpc/section3/mpc3671.htm",""
"http://www.itl.nist.gov/div898/handbook/ppc/section5/ppc521.r","http://www.itl.nist.gov/div898/handbook/ppc/section5/ppc521.htm",""
"http://www.itl.nist.gov/div898/handbook/ppc/section5/ppc511.r","http://www.itl.nist.gov/div898/handbook/ppc/section5/ppc511.htm",""
